name,trainer,Analytic,Independent,Determined,Professional,Studious,Imaginative,week,cohort,date
Toddie Rubanenko,Gina Cartwright,8.0,6.0,5.0,3.0,7.0,8.0,6,Data_32,2019-07-22
Selby Floyd,Gina Cartwright,3.0,7.0,2.0,5.0,6.0,6.0,6,Data_32,2019-07-22
Claudio Handrick,Gina Cartwright,8.0,8.0,5.0,4.0,5.0,7.0,6,Data_32,2019-07-22
Kingston Comsty,Gina Cartwright,7.0,6.0,8.0,4.0,5.0,8.0,6,Data_32,2019-07-22
Benedikt Cohani,Gina Cartwright,5.0,8.0,6.0,7.0,3.0,8.0,6,Data_32,2019-07-22
Morgen Lilywhite,Gina Cartwright,6.0,5.0,8.0,5.0,8.0,8.0,6,Data_32,2019-07-22
Job Restall,Gina Cartwright,8.0,4.0,4.0,6.0,5.0,4.0,6,Data_32,2019-07-22
Wilhelm Jouanet,Gina Cartwright,8.0,3.0,7.0,3.0,4.0,8.0,6,Data_32,2019-07-22
Marcy Treat,Gina Cartwright,5.0,8.0,8.0,7.0,8.0,5.0,7,Data_32,2019-07-22
Heindrick Mckiddin,Gina Cartwright,8.0,6.0,8.0,6.0,7.0,8.0,7,Data_32,2019-07-22
Danella Winkett,Gina Cartwright,3.0,7.0,8.0,6.0,8.0,6.0,7,Data_32,2019-07-22
Darrin Perrelle,Gina Cartwright,8.0,8.0,8.0,5.0,6.0,6.0,7,Data_32,2019-07-22
Janelle Forbear,Gina Cartwright,8.0,8.0,8.0,7.0,8.0,6.0,7,Data_32,2019-07-22
Sorcha Argue,Gina Cartwright,8.0,8.0,6.0,8.0,8.0,8.0,7,Data_32,2019-07-22
Toddie Rubanenko,Gina Cartwright,8.0,8.0,8.0,8.0,8.0,6.0,7,Data_32,2019-07-22
Selby Floyd,Gina Cartwright,8.0,8.0,8.0,8.0,8.0,4.0,7,Data_32,2019-07-22
Claudio Handrick,Gina Cartwright,8.0,8.0,8.0,4.0,8.0,7.0,7,Data_32,2019-07-22
Kingston Comsty,Gina Cartwright,8.0,8.0,8.0,8.0,8.0,7.0,7,Data_32,2019-07-22
Benedikt Cohani,Gina Cartwright,8.0,8.0,7.0,8.0,5.0,8.0,7,Data_32,2019-07-22
Morgen Lilywhite,Gina Cartwright,5.0,8.0,8.0,8.0,7.0,8.0,7,Data_32,2019-07-22
Job Restall,Gina Cartwright,8.0,8.0,8.0,6.0,8.0,4.0,7,Data_32,2019-07-22
Wilhelm Jouanet,Gina Cartwright,6.0,6.0,8.0,7.0,6.0,6.0,7,Data_32,2019-07-22
Marcy Treat,Gina Cartwright,8.0,8.0,8.0,7.0,8.0,7.0,8,Data_32,2019-07-22
Heindrick Mckiddin,Gina Cartwright,5.0,7.0,5.0,8.0,5.0,4.0,8,Data_32,2019-07-22
Danella Winkett,Gina Cartwright,8.0,8.0,8.0,8.0,8.0,6.0,8,Data_32,2019-07-22
Darrin Perrelle,Gina Cartwright,3.0,8.0,2.0,7.0,8.0,8.0,8,Data_32,2019-07-22
Janelle Forbear,Gina Cartwright,8.0,8.0,8.0,7.0,8.0,8.0,8,Data_32,2019-07-22
Sorcha Argue,Gina Cartwright,6.0,8.0,8.0,8.0,8.0,8.0,8,Data_32,2019-07-22
Toddie Rubanenko,Gina Cartwright,8.0,8.0,6.0,7.0,8.0,7.0,8,Data_32,2019-07-22
Selby Floyd,Gina Cartwright,6.0,8.0,8.0,8.0,8.0,6.0,8,Data_32,2019-07-22
Claudio Handrick,Gina Cartwright,8.0,6.0,4.0,4.0,8.0,8.0,8,Data_32,2019-07-22
Kingston Comsty,Gina Cartwright,8.0,8.0,5.0,8.0,8.0,5.0,8,Data_32,2019-07-22
Benedikt Cohani,Gina Cartwright,8.0,8.0,8.0,8.0,8.0,8.0,8,Data_32,2019-07-22
Morgen Lilywhite,Gina Cartwright,7.0,8.0,8.0,8.0,6.0,8.0,8,Data_32,2019-07-22
Job Restall,Gina Cartwright,8.0,8.0,8.0,7.0,8.0,8.0,8,Data_32,2019-07-22
Wilhelm Jouanet,Gina Cartwright,8.0,8.0,8.0,8.0,8.0,7.0,8,Data_32,2019-07-22
Malvina Whiteford,Lucy Foster,3.0,2.0,2.0,6.0,3.0,1.0,1,Data_33,2019-08-05
Belle Catherall,Lucy Foster,3.0,5.0,4.0,4.0,1.0,1.0,1,Data_33,2019-08-05
Ortensia Winscomb,Lucy Foster,2.0,2.0,7.0,1.0,2.0,2.0,1,Data_33,2019-08-05
Staffard Load,Lucy Foster,3.0,4.0,3.0,2.0,4.0,2.0,1,Data_33,2019-08-05
Bowie Endersby,Lucy Foster,4.0,5.0,1.0,2.0,2.0,3.0,1,Data_33,2019-08-05
Tonye Ambrogio,Lucy Foster,3.0,5.0,3.0,4.0,1.0,2.0,1,Data_33,2019-08-05
Celina Polley,Lucy Foster,2.0,3.0,3.0,6.0,2.0,2.0,1,Data_33,2019-08-05
Muhammad Linn,Lucy Foster,3.0,3.0,2.0,3.0,7.0,1.0,1,Data_33,2019-08-05
Farica Harding,Lucy Foster,4.0,4.0,1.0,3.0,1.0,4.0,1,Data_33,2019-08-05
Marquita Forrington,Lucy Foster,1.0,1.0,4.0,1.0,4.0,1.0,1,Data_33,2019-08-05
Muffin Jandel,Lucy Foster,5.0,4.0,3.0,5.0,3.0,1.0,1,Data_33,2019-08-05
Nadya Pineaux,Lucy Foster,5.0,2.0,1.0,4.0,2.0,4.0,1,Data_33,2019-08-05
Dewitt Milborn,Lucy Foster,1.0,2.0,2.0,1.0,1.0,2.0,1,Data_33,2019-08-05
Levy Standage,Lucy Foster,1.0,3.0,8.0,2.0,2.0,5.0,1,Data_33,2019-08-05
Malvina Whiteford,Lucy Foster,2.0,4.0,2.0,2.0,5.0,2.0,2,Data_33,2019-08-05
Belle Catherall,Lucy Foster,3.0,8.0,2.0,5.0,1.0,1.0,2,Data_33,2019-08-05
Ortensia Winscomb,Lucy Foster,1.0,5.0,5.0,3.0,4.0,2.0,2,Data_33,2019-08-05
Staffard Load,Lucy Foster,1.0,8.0,3.0,2.0,2.0,4.0,2,Data_33,2019-08-05
Bowie Endersby,Lucy Foster,3.0,6.0,1.0,4.0,2.0,3.0,2,Data_33,2019-08-05
Tonye Ambrogio,Lucy Foster,2.0,1.0,3.0,4.0,2.0,5.0,2,Data_33,2019-08-05
Celina Polley,Lucy Foster,2.0,2.0,7.0,3.0,1.0,5.0,2,Data_33,2019-08-05
Muhammad Linn,Lucy Foster,3.0,2.0,4.0,1.0,3.0,4.0,2,Data_33,2019-08-05
Farica Harding,Lucy Foster,5.0,4.0,6.0,5.0,3.0,4.0,2,Data_33,2019-08-05
Marquita Forrington,Lucy Foster,5.0,6.0,1.0,1.0,1.0,3.0,2,Data_33,2019-08-05
Muffin Jandel,Lucy Foster,3.0,3.0,5.0,2.0,1.0,3.0,2,Data_33,2019-08-05
Nadya Pineaux,Lucy Foster,3.0,4.0,5.0,1.0,1.0,3.0,2,Data_33,2019-08-05
Levy Standage,Lucy Foster,2.0,6.0,4.0,5.0,2.0,7.0,2,Data_33,2019-08-05
Malvina Whiteford,Lucy Foster,1.0,2.0,7.0,2.0,2.0,2.0,3,Data_33,2019-08-05
Belle Catherall,Lucy Foster,3.0,1.0,2.0,5.0,1.0,4.0,3,Data_33,2019-08-05
Ortensia Winscomb,Lucy Foster,1.0,3.0,6.0,1.0,2.0,4.0,3,Data_33,2019-08-05
Staffard Load,Lucy Foster,3.0,7.0,2.0,2.0,2.0,5.0,3,Data_33,2019-08-05
Bowie Endersby,Lucy Foster,3.0,6.0,2.0,4.0,4.0,1.0,3,Data_33,2019-08-05
Tonye Ambrogio,Lucy Foster,1.0,1.0,3.0,5.0,1.0,2.0,3,Data_33,2019-08-05
Celina Polley,Lucy Foster,2.0,3.0,3.0,8.0,3.0,2.0,3,Data_33,2019-08-05
Muhammad Linn,Lucy Foster,1.0,3.0,2.0,3.0,5.0,1.0,3,Data_33,2019-08-05
Farica Harding,Lucy Foster,3.0,3.0,2.0,3.0,2.0,4.0,3,Data_33,2019-08-05
Marquita Forrington,Lucy Foster,5.0,7.0,5.0,3.0,4.0,5.0,3,Data_33,2019-08-05
Muffin Jandel,Lucy Foster,1.0,1.0,2.0,2.0,1.0,3.0,3,Data_33,2019-08-05
Nadya Pineaux,Lucy Foster,5.0,5.0,6.0,4.0,1.0,1.0,3,Data_33,2019-08-05
Levy Standage,Lucy Foster,3.0,2.0,3.0,2.0,1.0,3.0,3,Data_33,2019-08-05
Malvina Whiteford,Lucy Foster,8.0,5.0,6.0,7.0,7.0,5.0,4,Data_33,2019-08-05
Belle Catherall,Lucy Foster,4.0,8.0,7.0,6.0,8.0,5.0,4,Data_33,2019-08-05
Ortensia Winscomb,Lucy Foster,3.0,5.0,3.0,6.0,6.0,8.0,4,Data_33,2019-08-05
Staffard Load,Lucy Foster,8.0,5.0,4.0,8.0,8.0,4.0,4,Data_33,2019-08-05
Bowie Endersby,Lucy Foster,6.0,8.0,8.0,5.0,5.0,5.0,4,Data_33,2019-08-05
Tonye Ambrogio,Lucy Foster,4.0,7.0,8.0,8.0,2.0,4.0,4,Data_33,2019-08-05
Celina Polley,Lucy Foster,6.0,7.0,7.0,6.0,8.0,6.0,4,Data_33,2019-08-05
Muhammad Linn,Lucy Foster,8.0,8.0,4.0,5.0,3.0,8.0,4,Data_33,2019-08-05
Farica Harding,Lucy Foster,8.0,7.0,6.0,6.0,5.0,5.0,4,Data_33,2019-08-05
Marquita Forrington,Lucy Foster,8.0,8.0,3.0,6.0,6.0,5.0,4,Data_33,2019-08-05
Nadya Pineaux,Lucy Foster,6.0,6.0,2.0,8.0,3.0,8.0,4,Data_33,2019-08-05
Levy Standage,Lucy Foster,8.0,3.0,8.0,1.0,6.0,4.0,4,Data_33,2019-08-05
Malvina Whiteford,Lucy Foster,6.0,5.0,6.0,3.0,4.0,5.0,5,Data_33,2019-08-05
Belle Catherall,Lucy Foster,8.0,5.0,4.0,4.0,1.0,7.0,5,Data_33,2019-08-05
Ortensia Winscomb,Lucy Foster,8.0,5.0,7.0,2.0,6.0,8.0,5,Data_33,2019-08-05
Staffard Load,Lucy Foster,6.0,6.0,4.0,4.0,5.0,5.0,5,Data_33,2019-08-05
Bowie Endersby,Lucy Foster,3.0,8.0,7.0,2.0,8.0,8.0,5,Data_33,2019-08-05
Tonye Ambrogio,Lucy Foster,8.0,6.0,5.0,8.0,7.0,8.0,5,Data_33,2019-08-05
Celina Polley,Lucy Foster,8.0,8.0,4.0,6.0,5.0,8.0,5,Data_33,2019-08-05
Muhammad Linn,Lucy Foster,6.0,7.0,6.0,3.0,8.0,1.0,5,Data_33,2019-08-05
Farica Harding,Lucy Foster,3.0,8.0,5.0,8.0,6.0,7.0,5,Data_33,2019-08-05
Marquita Forrington,Lucy Foster,5.0,3.0,4.0,8.0,5.0,6.0,5,Data_33,2019-08-05
Nadya Pineaux,Lucy Foster,8.0,3.0,7.0,4.0,8.0,8.0,5,Data_33,2019-08-05
Levy Standage,Lucy Foster,8.0,8.0,1.0,8.0,7.0,6.0,5,Data_33,2019-08-05
Malvina Whiteford,Lucy Foster,6.0,6.0,5.0,7.0,7.0,1.0,6,Data_33,2019-08-05
Belle Catherall,Lucy Foster,4.0,7.0,5.0,6.0,5.0,4.0,6,Data_33,2019-08-05
Ortensia Winscomb,Lucy Foster,2.0,8.0,6.0,6.0,7.0,5.0,6,Data_33,2019-08-05
Staffard Load,Lucy Foster,6.0,7.0,7.0,3.0,8.0,5.0,6,Data_33,2019-08-05
Bowie Endersby,Lucy Foster,7.0,7.0,6.0,4.0,4.0,7.0,6,Data_33,2019-08-05
Tonye Ambrogio,Lucy Foster,8.0,5.0,5.0,4.0,6.0,5.0,6,Data_33,2019-08-05
Celina Polley,Lucy Foster,5.0,6.0,4.0,6.0,8.0,6.0,6,Data_33,2019-08-05
Muhammad Linn,Lucy Foster,2.0,8.0,8.0,8.0,7.0,7.0,6,Data_33,2019-08-05
Farica Harding,Lucy Foster,5.0,8.0,8.0,2.0,5.0,8.0,6,Data_33,2019-08-05
Marquita Forrington,Lucy Foster,5.0,8.0,6.0,4.0,2.0,8.0,6,Data_33,2019-08-05
Nadya Pineaux,Lucy Foster,8.0,8.0,8.0,8.0,5.0,4.0,6,Data_33,2019-08-05
Levy Standage,Lucy Foster,8.0,8.0,8.0,4.0,5.0,8.0,6,Data_33,2019-08-05
Malvina Whiteford,Lucy Foster,7.0,8.0,8.0,4.0,5.0,8.0,7,Data_33,2019-08-05
Belle Catherall,Lucy Foster,8.0,8.0,8.0,8.0,8.0,6.0,7,Data_33,2019-08-05
Ortensia Winscomb,Lucy Foster,8.0,7.0,8.0,8.0,8.0,6.0,7,Data_33,2019-08-05
Staffard Load,Lucy Foster,8.0,8.0,8.0,3.0,8.0,8.0,7,Data_33,2019-08-05
Bowie Endersby,Lucy Foster,8.0,3.0,8.0,7.0,5.0,8.0,7,Data_33,2019-08-05
Tonye Ambrogio,Lucy Foster,8.0,8.0,8.0,8.0,8.0,8.0,7,Data_33,2019-08-05
Celina Polley,Lucy Foster,8.0,2.0,8.0,8.0,8.0,8.0,7,Data_33,2019-08-05
Muhammad Linn,Lucy Foster,6.0,8.0,7.0,5.0,5.0,8.0,7,Data_33,2019-08-05
Farica Harding,Lucy Foster,8.0,8.0,8.0,8.0,8.0,8.0,7,Data_33,2019-08-05
Marquita Forrington,Lucy Foster,6.0,8.0,8.0,8.0,5.0,8.0,7,Data_33,2019-08-05
Nadya Pineaux,Lucy Foster,7.0,8.0,8.0,6.0,8.0,8.0,7,Data_33,2019-08-05
Levy Standage,Lucy Foster,8.0,8.0,8.0,8.0,8.0,5.0,7,Data_33,2019-08-05
Malvina Whiteford,Lucy Foster,8.0,8.0,8.0,7.0,7.0,7.0,8,Data_33,2019-08-05
Belle Catherall,Lucy Foster,4.0,2.0,6.0,8.0,8.0,8.0,8,Data_33,2019-08-05
Ortensia Winscomb,Lucy Foster,6.0,8.0,8.0,8.0,4.0,8.0,8,Data_33,2019-08-05
Staffard Load,Lucy Foster,8.0,7.0,8.0,8.0,8.0,8.0,8,Data_33,2019-08-05
Bowie Endersby,Lucy Foster,8.0,3.0,7.0,6.0,8.0,8.0,8,Data_33,2019-08-05
Tonye Ambrogio,Lucy Foster,8.0,8.0,7.0,8.0,8.0,8.0,8,Data_33,2019-08-05
Celina Polley,Lucy Foster,8.0,6.0,8.0,8.0,8.0,8.0,8,Data_33,2019-08-05
Muhammad Linn,Lucy Foster,8.0,6.0,8.0,8.0,7.0,8.0,8,Data_33,2019-08-05
Farica Harding,Lucy Foster,8.0,7.0,5.0,7.0,8.0,7.0,8,Data_33,2019-08-05
Marquita Forrington,Lucy Foster,8.0,8.0,6.0,8.0,8.0,8.0,8,Data_33,2019-08-05
Nadya Pineaux,Lucy Foster,8.0,4.0,8.0,8.0,8.0,8.0,8,Data_33,2019-08-05
Levy Standage,Lucy Foster,8.0,8.0,8.0,8.0,8.0,8.0,8,Data_33,2019-08-05
Emmey Wadforth,Lucy Foster,4.0,1.0,7.0,3.0,2.0,1.0,1,Data_31,2019-05-20
Sayer Weedon,Lucy Foster,1.0,5.0,7.0,1.0,3.0,2.0,1,Data_31,2019-05-20
Norbie Iacobucci,Lucy Foster,2.0,2.0,1.0,2.0,3.0,1.0,1,Data_31,2019-05-20
Lynnell Samber,Lucy Foster,4.0,5.0,1.0,4.0,5.0,2.0,1,Data_31,2019-05-20
Hogan Bushnell,Lucy Foster,1.0,3.0,3.0,2.0,5.0,4.0,1,Data_31,2019-05-20
Scott Duny,Lucy Foster,1.0,7.0,5.0,1.0,1.0,3.0,1,Data_31,2019-05-20
Viv Newby,Lucy Foster,3.0,3.0,1.0,3.0,2.0,5.0,1,Data_31,2019-05-20
Louise Dowse,Lucy Foster,3.0,1.0,7.0,1.0,1.0,4.0,1,Data_31,2019-05-20
Haroun Mccrohon,Lucy Foster,2.0,5.0,3.0,6.0,5.0,4.0,1,Data_31,2019-05-20
Devan Claricoats,Lucy Foster,3.0,2.0,2.0,4.0,4.0,4.0,1,Data_31,2019-05-20
Matthaeus Audas,Lucy Foster,5.0,4.0,3.0,3.0,3.0,2.0,1,Data_31,2019-05-20
Halsey Broader,Lucy Foster,2.0,1.0,1.0,6.0,3.0,2.0,1,Data_31,2019-05-20
Rina Soffe,Lucy Foster,4.0,3.0,4.0,4.0,2.0,5.0,1,Data_31,2019-05-20
Emmey Wadforth,Lucy Foster,1.0,1.0,3.0,2.0,1.0,4.0,2,Data_31,2019-05-20
Sayer Weedon,Lucy Foster,6.0,1.0,5.0,3.0,1.0,3.0,2,Data_31,2019-05-20
Lynnell Samber,Lucy Foster,1.0,3.0,3.0,5.0,3.0,4.0,2,Data_31,2019-05-20
Hogan Bushnell,Lucy Foster,4.0,2.0,5.0,4.0,2.0,3.0,2,Data_31,2019-05-20
Scott Duny,Lucy Foster,3.0,2.0,2.0,3.0,4.0,1.0,2,Data_31,2019-05-20
Viv Newby,Lucy Foster,5.0,1.0,1.0,4.0,4.0,1.0,2,Data_31,2019-05-20
Louise Dowse,Lucy Foster,3.0,5.0,6.0,2.0,6.0,4.0,2,Data_31,2019-05-20
Haroun Mccrohon,Lucy Foster,3.0,2.0,1.0,3.0,1.0,2.0,2,Data_31,2019-05-20
Devan Claricoats,Lucy Foster,2.0,2.0,2.0,1.0,5.0,3.0,2,Data_31,2019-05-20
Matthaeus Audas,Lucy Foster,1.0,1.0,1.0,4.0,2.0,4.0,2,Data_31,2019-05-20
Halsey Broader,Lucy Foster,6.0,6.0,3.0,3.0,2.0,1.0,2,Data_31,2019-05-20
Rina Soffe,Lucy Foster,4.0,3.0,4.0,3.0,4.0,3.0,2,Data_31,2019-05-20
Emmey Wadforth,Lucy Foster,2.0,3.0,2.0,2.0,2.0,1.0,3,Data_31,2019-05-20
Sayer Weedon,Lucy Foster,4.0,5.0,4.0,2.0,3.0,1.0,3,Data_31,2019-05-20
Lynnell Samber,Lucy Foster,4.0,4.0,3.0,3.0,3.0,3.0,3,Data_31,2019-05-20
Hogan Bushnell,Lucy Foster,1.0,3.0,3.0,8.0,8.0,3.0,3,Data_31,2019-05-20
Scott Duny,Lucy Foster,2.0,5.0,1.0,2.0,1.0,3.0,3,Data_31,2019-05-20
Viv Newby,Lucy Foster,4.0,7.0,1.0,2.0,3.0,4.0,3,Data_31,2019-05-20
Louise Dowse,Lucy Foster,2.0,2.0,6.0,3.0,4.0,2.0,3,Data_31,2019-05-20
Haroun Mccrohon,Lucy Foster,1.0,3.0,3.0,2.0,6.0,1.0,3,Data_31,2019-05-20
Devan Claricoats,Lucy Foster,2.0,3.0,5.0,1.0,1.0,2.0,3,Data_31,2019-05-20
Matthaeus Audas,Lucy Foster,2.0,6.0,5.0,1.0,4.0,5.0,3,Data_31,2019-05-20
Halsey Broader,Lucy Foster,3.0,6.0,7.0,5.0,2.0,1.0,3,Data_31,2019-05-20
Rina Soffe,Lucy Foster,2.0,3.0,2.0,2.0,2.0,2.0,3,Data_31,2019-05-20
Emmey Wadforth,Lucy Foster,8.0,5.0,4.0,3.0,8.0,5.0,4,Data_31,2019-05-20
